"year","population","percent_change"
2029,8049263175.27253,0.00616531947346014
2030,8098311697.9671,0.00609354193378213
2031,8147019790.63799,0.00601459841106267
2032,8195320692.49805,0.00592865895766825
2033,8243147642.76017,0.00583588514185869
2034,8290433880.63721,0.00573642981131945
2035,8337112645.34203,0.00563043688387002
2036,8383117176.08752,0.00551804116155096
2037,8428380712.08653,0.00539936816440111
2038,8472836492.55193,0.0052745339803713
2039,8516417756.6966,0.00514364512793108
2040,8559057743.73341,0.00500679842804524
2041,8600689692.87522,0.00486408088230141
2042,8641246843.3349,0.00471556955406471
2043,8680662434.32532,0.00456133144961864
2044,8718869705.05935,0.00440142339632394
2045,8755801894.74986,0.00423589191487504
2046,8791392242.60972,0.00406477308277134
2047,8825573987.85179,0.00388809238614136
2048,8858280369.68895,0.003705864557045
2049,8889444627.33406,0.00351809339335793
2050,8.919e+09,0.00332477155828812
2051,8946897728.73028,0.00312789872522501
2052,8973161061.89104,0.002935468131755
2053,8997831249.67906,0.00274933076736909
2054,9020949542.29111,0.00256931831355265
2055,9042557189.92399,0.00239527419276435
2056,9062695442.77448,0.00222705285988421
2057,9081405551.03936,0.00206451914698232
2058,9098728764.9154,0.00190754765643789
2059,9114706334.59941,0.0017560221979153
2060,9129379510.28815,0.00160983526512976
2061,9142789542.1784,0.00146888754872625
2062,9154977680.46697,0.00133308748192609
2063,9165985175.35062,0.00120235081589935
2064,9175853277.02613,0.00107660022209655
2065,9184623235.6903,0.000955764919010314
2066,9192336301.5399,0.000839780321051138
2067,9199033724.77172,0.000728587707425064
2068,9204756755.58254,0.000622133909065513
2069,9209546644.16914,0.000520371011835197
2070,9213444640.7283,0.000423256074351271
2071,9216491995.45682,0.000330750858917934
2072,9218729958.55146,0.000242821574167896
2073,9220199780.20902,0.000159438628115264
2074,9220942710.62627,8.05763904212003e-05
2075,9.221e+09,6.21296276633327e-06
2076,9220409298.16086,-6.40604965988538e-05
2077,9219193853.47499,-0.000131821120578593
2078,9217373313.94237,-0.000197472746700899
2079,9214967327.56302,-0.000261027333645599
2080,9211995542.33693,-0.000322495470732971
