"year","land_area","natural_land","percent_change"
2030,52711726.9075787,77657671.0924213,0.00223924176606199
2031,52825003.5207243,77544394.4792757,0.0021489831540562
2032,52938280.9135279,77431117.0864721,0.00214438968771977
2033,53051556.9422836,77317841.0577164,0.00213977535350521
2034,53164833.5603742,77204564.4396258,0.00213521760000063
2035,53278110.411644,77091287.588356,0.0021306725458128
2036,53391387.2175877,76978010.7824123,0.00212614158175828
2037,53504664.1399972,76864733.8600028,0.0021216328758767
2038,53617940.8750013,76751457.1249987,0.0021171375771597
2039,53731217.7463261,76638180.2536739,0.00211266731762192
2040,53844494.3707565,76524903.6292435,0.00210820876915913
2041,53908545.7096692,76460852.2903308,0.00118956152641467
2042,53972597.4543734,76396800.5456266,0.0011881556784921
2043,54036649.363068,76332748.636932,0.00118674867832236
2044,54100701.0624463,76268696.9375537,0.00118533810170105
2045,54164752.839528,76204645.160472,0.00118393617501861
2046,54228804.3411821,76140593.6588179,0.00118253104272181
2047,54292856.7034509,76076541.2965491,0.00118115018479512
2048,54356907.7982925,76012490.2017075,0.00117973337066142
2049,54420959.7389829,75948438.2610171,0.00117835880083691
2050,54485010.9553774,75884387.0446226,0.00117695859649858
2051,54552060.1934923,75817337.8065077,0.00123059969960937
2052,54619108.7103572,75750289.2896428,0.00122907396397275
2053,54686157.3217983,75683240.6782017,0.00122756692711083
2054,54753205.7686166,75616192.2313834,0.00122605884380861
2055,54820254.3606208,75549143.6393792,0.00122456011594166
2056,54887302.7646223,75482095.2353777,0.00122305897306575
2057,54954352.0308924,75415045.9691076,0.00122158063692133
2058,55021400.5462272,75347997.4537728,0.0012200765336494
2059,55088449.2054953,75280948.7945047,0.00121859237682916
2060,55155497.7455163,75213900.2544837,0.00121710705216791
2061,55202983.48589,75166414.51411,0.000860943012295833
2062,55250469.1729283,75118928.8270717,0.000860201460858359
2063,55297954.8646137,75071443.1353863,0.000859462234370682
2064,55345440.8041192,75023957.1958808,0.000858728674898786
2065,55392926.5129215,74976471.4870785,0.000857987724234793
2066,55440412.1100201,74928985.8899799,0.000857250195790376
2067,55487897.4554054,74881500.5445946,0.00085651140707729
2068,55535383.7438843,74834014.2561157,0.000855795419479848
2069,55582868.4943066,74786529.5056934,0.000855035964841569
2070,55630354.3412931,74739043.6587069,0.000854325231367988
2071,55682847.3094117,74686550.6905883,0.000943602979707002
2072,55735340.6363443,74634057.3636557,0.000942719876390535
2073,55787833.5320068,74581564.4679932,0.000941824254829646
2074,55840327.1499527,74529070.8500473,0.000940951003515582
2075,55892820.6449912,74476577.3550088,0.000940064245997866
2076,55945313.8496382,74424084.1503618,0.000939176159679262
2077,55997807.2166639,74371590.7833361,0.000938297837898986
2078,56050300.9014089,74319097.0985911,0.000937423934153356
2079,56102793.850385,74266604.149615,0.000936532866584129
2080,56155286.8886926,74214111.1113074,0.000935658185715104
